xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
3.73,0,-0.0126,-0.09276,-1.013174,0.115,5.524
3.74,0,-0.022206,-0.099155,-1.011824,0.39,5.812
3.75,0,-0.040806,-0.096429,-0.994166,0.414,6.141
3.76,0,-0.062057,-0.083205,-0.962239,0.184,6.437
3.77,0,-0.077472,-0.060375,-0.929651,-0.09,6.629
3.78,0,-0.079663,-0.030996,-0.910897,-0.157,6.718
3.79,0,-0.067942,-0.00358,-0.916146,0.117,6.749
3.8,0,-0.049597,0.009517,-0.937549,0.687,6.77
3.81,0,-0.0365,0.005695,-0.960532,1.309,6.771
3.82,0,-0.034232,-0.006612,-0.988535,1.695,6.759
3.83,0,-0.040144,-0.016753,-1.023748,1.735,6.746
3.84,0,-0.049469,-0.021951,-1.051318,1.527,6.755
3.85,0,-0.056884,-0.029417,-1.057102,1.214,6.765
3.86,0,-0.057648,-0.042539,-1.041406,0.888,6.741
3.87,0,-0.050055,-0.059381,-1.014703,0.592,6.701
3.88,0,-0.038258,-0.07658,-0.990548,0.303,6.676
3.89,0,-0.030105,-0.086696,-0.981044,0.05,6.703
3.9,0,-0.031786,-0.079205,-0.982114,-0.013,6.776
3.91,0,-0.04603,-0.049979,-0.976075,0.314,6.843
3.92,0,-0.069344,-0.010536,-0.956175,1.024,6.865
3.93,0,-0.09146,0.014536,-0.932988,1.78,6.856
3.94,0,-0.101601,0.005618,-0.921854,2.093,6.835
3.95,0,-0.095716,-0.031939,-0.926466,1.695,6.831
3.96,0,-0.079536,-0.071026,-0.939307,0.794,6.913
3.97,0,-0.063331,-0.0909,-0.953602,-0.13,7.049
3.98,0,-0.053852,-0.089855,-0.970571,-0.689,7.153
3.99,0,-0.050489,-0.074975,-0.994625,-0.784,7.212
4,0,-0.049954,-0.056553,-1.017098,-0.591,7.221
4.01,0,-0.051686,-0.042259,-1.025889,-0.35,7.188
4.02,0,-0.052807,-0.033697,-1.024207,-0.236,7.104
4.03,0,-0.048374,-0.027633,-1.021735,-0.238,6.976
4.04,0,-0.038997,-0.027582,-1.024462,-0.265,6.845
4.05,0,-0.031353,-0.04394,-1.02994,-0.335,6.804
4.06,0,-0.031863,-0.073013,-1.028003,-0.549,6.903
4.07,0,-0.041494,-0.092531,-1.015773,-0.911,7.088
4.08,0,-0.056324,-0.084555,-0.997606,-1.165,7.29
4.09,0,-0.070618,-0.055151,-0.978852,-1.051,7.454
4.1,0,-0.077548,-0.023123,-0.968023,-0.497,7.594
4.11,0,-0.072707,0.000013,-0.970138,0.332,7.707
4.12,0,-0.059789,0.014409,-0.981248,1.203,7.778
4.13,0,-0.049164,0.017518,-0.991847,1.878,7.827
4.14,0,-0.048348,0.002357,-0.996612,2.052,7.818
4.15,0,-0.056298,-0.02748,-0.998548,1.657,7.758
4.16,0,-0.065089,-0.057445,-1.004536,1.022,7.724
4.17,0,-0.067025,-0.075765,-1.012562,0.55,7.777
4.18,0,-0.06356,-0.077345,-1.012129,0.443,7.926
4.19,0,-0.058515,-0.062413,-1.007772,0.642,8.075
4.2,0,-0.049724,-0.040806,-1.012129,0.901,8.134
4.21,0,-0.039252,-0.029901,-1.014728,0.98,8.08
4.22,0,-0.03408,-0.033137,-1.003594,0.793,7.965
4.23,0,-0.036526,-0.036475,-0.990981,0.498,7.873
4.24,0,-0.044017,-0.036398,-0.990981,0.212,7.812
