xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
3.34,0,-0.120406,-0.069599,-0.934874,-0.027,16.482
3.35,0,-0.11694,-0.067815,-0.942314,-0.466,16.303
3.36,0,-0.111666,-0.05324,-0.954825,-0.682,16.09
3.37,0,-0.106239,-0.042361,-0.970113,-0.593,15.916
3.38,0,-0.103767,-0.060655,-0.985885,-0.38,15.809
3.39,0,-0.104965,-0.098315,-1.00502,-0.188,15.826
3.4,0,-0.105551,-0.127107,-1.02729,-0.138,15.986
3.41,0,-0.102086,-0.127948,-1.046247,-0.201,16.196
3.42,0,-0.099028,-0.100455,-1.051318,-0.016,16.364
3.43,0,-0.104608,-0.059891,-1.036743,0.625,16.444
3.44,0,-0.117832,-0.021008,-1.010473,1.459,16.445
3.45,0,-0.129324,0.00358,-0.987235,2.071,16.315
3.46,0,-0.135388,0.001924,-0.971591,2.189,16.061
3.47,0,-0.140306,-0.024652,-0.957831,1.683,15.759
3.48,0,-0.148612,-0.048603,-0.936836,0.652,15.494
3.49,0,-0.161403,-0.031226,-0.909904,-0.484,15.232
3.5,0,-0.174245,0.026971,-0.891787,-1.229,14.841
3.51,0,-0.180156,0.081014,-0.889596,-1.378,14.295
3.52,0,-0.176538,0.099359,-0.899329,-0.995,13.677
3.53,0,-0.166168,0.084403,-0.914286,-0.252,13.089
3.54,0,-0.154116,0.043991,-0.931358,0.567,12.64
3.55,0,-0.144102,-0.013594,-0.95485,1.179,12.379
3.56,0,-0.136611,-0.071382,-0.986318,1.351,12.338
3.57,0,-0.129528,-0.105041,-1.017455,1.041,12.513
3.58,0,-0.123361,-0.09941,-1.035571,0.398,12.756
3.59,0,-0.119922,-0.060655,-1.03524,-0.41,12.85
3.6,0,-0.118444,-0.006434,-1.015391,-1.197,12.658
3.61,0,-0.122087,0.045851,-0.980611,-1.654,12.161
3.62,0,-0.133197,0.077497,-0.944684,-1.7,11.453
3.63,0,-0.146217,0.075459,-0.917318,-1.618,10.701
3.64,0,-0.157963,0.048705,-0.898412,-1.641,10.018
3.65,0,-0.17213,0.014715,-0.886717,-1.825,9.493
3.66,0,-0.188488,-0.008217,-0.882742,-2.162,9.171
3.67,0,-0.199776,-0.004701,-0.889392,-2.41,9
3.68,0,-0.198527,0.022359,-0.914057,-2.212,8.908
3.69,0,-0.183622,0.054311,-0.960354,-1.509,8.829
3.7,0,-0.160944,0.074312,-1.022678,-0.627,8.753
3.71,0,-0.139388,0.082084,-1.086353,0.103,8.65
3.72,0,-0.126572,0.085753,-1.128904,0.613,8.489
3.73,0,-0.12433,0.087307,-1.140243,1.004,8.25
3.74,0,-0.124202,0.080428,-1.137262,1.234,7.903
3.75,0,-0.115768,0.05877,-1.132369,1.164,7.451
3.76,0,-0.098901,0.024219,-1.117158,0.804,6.988
3.77,0,-0.08053,-0.013364,-1.089487,0.284,6.582
3.78,0,-0.068477,-0.046514,-1.053534,-0.252,6.28
3.79,0,-0.069828,-0.074695,-1.01162,-0.727,6.111
3.8,0,-0.085549,-0.086594,-0.96996,-1.04,6.065
3.81,0,-0.109016,-0.062158,-0.931587,-1.055,6.059
3.82,0,-0.132662,-0.006077,-0.892781,-0.678,5.995
3.83,0,-0.151058,0.053393,-0.857644,-0.031,5.787
3.84,0,-0.158728,0.094416,-0.843859,0.609,5.408
3.85,0,-0.153734,0.106264,-0.856803,0.995,4.96
3.86,0,-0.142191,0.087995,-0.882614,0.987,4.537
3.87,0,-0.134776,0.049979,-0.913343,0.654,4.189
3.88,0,-0.134726,0.009542,-0.951614,0.261,3.957
3.89,0,-0.135898,-0.016651,-1.001988,0.064,3.876
3.9,0,-0.133018,-0.0219,-1.059063,0.123,3.888
3.91,0,-0.124839,-0.00781,-1.110023,0.413,3.915
3.92,0,-0.112915,0.0179,-1.144014,0.859,3.919
