Time_s,Ax_g,Ay_g,Az_g,RollRate_deg_s,YawRate_deg_s
78.81,0.286789029990408,-0.83915469070395,-0.930006974319519,0.176,-65.192
78.82,0.220182757114112,-0.853471935605044,-0.85777371316615,-0.829000000000261,-63.7759999999982
78.83,0.118796120172478,-0.839426174547024,-0.761384028707177,-1.013,-62.532
78.84,0.0192424735399333,-0.794121246793061,-0.63915115835855,-0.652,-61.69
78.85,-0.0514397397176554,-0.745976287859655,-0.525866378484323,0.114000000001586,-61.2029999999995
78.86,-0.10421486422537,-0.679560930971129,-0.448886738137948,1.23,-60.854
78.87,-0.155352074951337,-0.642871233879387,-0.41221107171999,2.535,-60.2
78.88,-0.207248873954383,-0.622593495137749,-0.404650983864386,3.216,-59.16
78.89,-0.245980093949739,-0.644277296786693,-0.415020261622264,2.088,-57.638
78.9,-0.254599218130535,-0.719980814245907,-0.442837597132872,-1.245,-55.462
78.91,-0.224975120492976,-0.786987911115331,-0.489512742852507,-5.531,-52.836
78.92,-0.141413496972296,-0.861696313845509,-0.560952480281646,-8.62,-50.311
78.93,4.37400209781883e-05,-0.990126221144793,-0.679494536222492,-9.485,-48.476
78.94,0.145650070410753,-1.09557159284843,-0.832052432237702,-8.582,-47.765
78.95,0.238276874774483,-1.08932329109809,-0.975999000340228,-6.661,-48.334
78.96,0.276474876302001,-0.98830587877714,-1.10378882233021,-3.83599999999493,-50.0460000000035
78.97,0.289259331040857,-0.876437230192969,-1.22172804569408,-0.27,-52.48
78.98,0.309380042752225,-0.833857110068603,-1.33090112541701,2.99,-55.207
78.99,0.360423647515287,-0.880411843902446,-1.42174519805935,4.837,-58.217
79,0.434639097930175,-0.932581169523548,-1.48924419376985,5.229,-61.606
79.01,0.492397384667037,-0.91316825644605,-1.53454492396149,4.8,-65.153
79.02,0.506295004122329,-0.876158794602003,-1.54583084508684,3.733,-68.498
79.03,0.474950474021516,-0.852882493980024,-1.52655694911547,2.104,-71.541
79.04,0.416488287894251,-0.861155740143443,-1.48841668297429,0.455,-74.267
79.05,0.364180733054044,-0.884977976328613,-1.42324534363853,-1.04,-76.704
79.06,0.334821180093093,-0.89035015339424,-1.33198627190172,-2.525,-78.868
79.07,0.319081186803968,-0.884337886226786,-1.23044458169206,-3.80400000000067,-80.6870000000018
79.08,0.302718633574049,-0.866385577466659,-1.11715941647015,-4.279,-81.934
79.09,0.281456094885247,-0.83294020354763,-0.979721077848731,-3.656,-82.517
79.1,0.256903432881691,-0.82237992421807,-0.837755600386785,-2.47499999999847,-82.4839999999991
79.11,0.218157044965276,-0.847698853617291,-0.734572750305338,-1.397,-81.873
79.12,0.153624626893707,-0.894147992722884,-0.674997733490844,-0.6,-80.77
79.13,0.0715765190589066,-0.898918664058495,-0.625908635033372,-0.066,-79.416
79.14,-0.0157252458173162,-0.869781503181324,-0.565049120368906,0.372,-77.968
79.15,-0.0839404514217327,-0.884403468935174,-0.519399055293608,0.884,-76.448
79.16,-0.125158243276712,-0.902228085740484,-0.522877635794964,1.726,-74.998
79.17,-0.149961165533671,-0.883356610582276,-0.559908222776692,2.49,-73.728
79.18,-0.156426261307405,-0.888141809405002,-0.610978771586288,2.319,-72.442
79.19,-0.13154478976351,-0.931740099128201,-0.671203655983166,1.074,-71.06
79.2,-0.0770806495878871,-0.95646177409347,-0.720380427880824,-0.525,-69.713
79.21,-0.000258069480195864,-0.981581842013859,-0.766279197661216,-2.070000000003,-68.4419999999983
79.22,0.106624217812872,-1.07161052135484,-0.84584212709708,-4.182,-67.218
79.23,0.246575367128067,-1.18635128328221,-0.961070248793262,-7.304,-66.049
79.24,0.370949134287536,-1.24794131178302,-1.07075995406503,-10.265,-64.953
79.25,0.432591993078497,-1.24815059211393,-1.12115894824088,-11.409,-63.972
79.26,0.442390426739609,-1.19369361787071,-1.11318957130682,-10.021,-63.425
79.27,0.445094233666526,-1.14373439925168,-1.10004105509817,-6.53,-63.72
79.28,0.47905700957016,-1.1117349282803,-1.1274827137751,-2.097,-64.986
79.29,0.533669535556785,-1.09071504410774,-1.18109408741339,2.124,-66.886
79.3,0.582823953071881,-1.07653234864673,-1.22747867135675,5.281,-69.12
79.31,0.595606212931737,-1.03931203607817,-1.25985052966705,7.148,-71.565
79.32,0.537015946300386,-1.00140546592782,-1.27144029367405,7.60399999999833,-73.9900000000031
79.33,0.415119359561728,-1.00380084034234,-1.26803424853242,6.432,-76.178
79.34,0.284672699819469,-0.975483209403985,-1.23109513046609,4.267,-78.299
79.35,0.202984523228783,-0.891933577717813,-1.14516489354602,2.35099999999819,-80.3400000000022
79.36,0.174367509255333,-0.790912945934442,-1.03028771291895,1.078,-81.881
79.37,0.157473526803286,-0.743265212457476,-0.90539705485548,-0.118,-82.3
79.38,0.134855821047324,-0.772302991282234,-0.789489865799194,-1.588,-81.327
79.39,0.107278901558123,-0.836710243155112,-0.686111812919016,-2.894,-79.154
79.4,0.0700270393802012,-0.873284792630042,-0.581138782656196,-3.421,-76.117
79.41,0.0169718975168869,-0.892725996496147,-0.468615026120935,-3.385,-72.383
79.42,-0.0624711783347459,-0.890447749224628,-0.334779861818081,-3.463,-68.123
79.43,-0.166483084464317,-0.823804829979166,-0.171450954369351,-3.701,-63.511
79.44,-0.265132882864896,-0.723760214466683,-0.0757108524761332,-3.497,-58.547
79.45,-0.29477908111919,-0.733820663599508,-0.227821284933683,-2.716,-53.404
79.46,-0.217134844248067,-0.917526842726893,-0.631298493368604,-1.96499999999933,-48.6779999999952
79.47,-0.0889531321548471,-1.09774273918903,-1.05510854342363,-1.492,-45.276
